report_0,count
sinus rhythm,13639
sinus tachycardia,3798
sinus bradycardia,1842
atrial fibrillation,1823
atrial fibrillation with rapid ventricular response,1286
*** consider acute st elevation mi ***,795
sinus rhythm with 1st degree a-v block,730
sinus rhythm with borderline 1st degree a-v block,664
sinus rhythm with pac(s),546
sinus arrhythmia,546
ventricular pacing,393
atrial fibrillation with slow ventricular response,354
sinus rhythm with pvc(s),346
possible ectopic atrial rhythm,271
probable accelerated junctional rhythm,263
sinus bradycardia with 1st degree a-v block,254
regular supraventricular rhythm,236
sinus rhythm with pacs,220
accelerated idioventricular rhythm,216
sinus tachycardia with pac(s),211
probable sinus tachycardia,204
demand pacing,190
possible atrial flutter with rapid ventricular response,182
possible atrial flutter,175
atrial pacing,173
sinus bradycardia with sinus arrhythmia,170
sinus rhythm with pvcs,149
undetermined rhythm,143
sinus bradycardia with borderline 1st degree a-v block,136
sinus tachycardia with pacs,122
sinus tachycardia with sinus arrhythmia,121
atrial flutter with rapid ventricular response with 2:1 a-v block,109
atrial fibrillation with pvc(s),105
a-v sequential pacemaker,104
sinus tachycardia with borderline 1st degree a-v block,103
atrial fibrillation with pvc(s) or aberrant ventricular conduction,96
probable atrial tachycardia,90
sinus bradycardia with pac(s),89
pacer detection suspended due to external noise-review advised,89
atrial fibrillation with uncontrolled ventricular response,81
sinus tachycardia with pvc(s),78
atrial fibrillation with rapid ventricular response with pvc(s),77
sinus rhythm with pvc(s) with pac(s),73
possible ectopic atrial bradycardia,72
a-v dissociation,69
sinus rhythm with frequent pvcs,62
demand atrial pacing,61
probable supraventricular tachycardia,61
possible idioventricular rhythm with slow ventricular response,60
atrial fibrillation with pvcs,60
probable junctional rhythm,58
marked sinus bradycardia,57
sinus tachycardia with pvcs,57
atrial fibrillation with rapid ventricular response with pvc(s) or aberrant ventricular conduction,56
atrial flutter,55
atrial flutter with rapid ventricular response,52
possible accelerated junctional rhythm,48
sinus rhythm with pvc(s) with 1st degree a-v block,47
atrial fibrillation with pvcs or aberrant ventricular conduction,47
sinus arrhythmia with pvc(s),46
"age not entered, assumed to be  50 years old for purpose of ecg interpretation",42
sinus rhythm with bigeminal pacs,41
atrial fibrillation with rapid ventricular response with pvcs,40
atrial fibrillation with rapid ventricular response with pvcs or aberrant ventricular conduction,40
sinus bradycardia with pacs,40
sinus rhythm with bigeminal pvcs,37
sinus arrhythmia with borderline 1st degree a-v block,37
sinus rhythm with pac(s) with 1st degree a-v block,37
possible ectopic atrial tachycardia,37
sinus tachycardia with frequent pvcs,37
sinus tachycardia with pvcs with pacs,35
sinus rhythm with aberrantly conducted supraventricular complexes,34
sinus tachycardia with pvc(s) with pac(s),33
sinus arrhythmia with 1st degree a-v block,33
atrial fibrillation with slow ventricular response with pvc(s),32
--- pediatric criteria used ---,31
sinus rhythm with pvc(s) with borderline 1st degree a-v block,31
sinus rhythm with pvcs with pacs,29
atrial flutter with 3:1 a-v block,28
sinus rhythm with pac(s) with borderline 1st degree a-v block,28
sinus rhythm with multifocal pvcs,28
probable atrial fibrillation,28
