report_0,count
Sinus rhythm,13335
Sinus tachycardia,3761
Atrial fibrillation,1795
Sinus bradycardia,1778
Atrial fibrillation with rapid ventricular response,1268
*** CONSIDER ACUTE ST ELEVATION MI ***,793
Sinus rhythm with 1st degree A-V block,730
Sinus rhythm with borderline 1st degree A-V block,665
--- Warning: Data quality may affect interpretation ---,623
Sinus rhythm with PAC(s),547
Sinus arrhythmia,539
Ventricular pacing,393
Atrial fibrillation with slow ventricular response,353
Sinus rhythm with PVC(s),346
SINUS RHYTHM,304
Possible ectopic atrial rhythm,265
Probable accelerated junctional rhythm,257
Sinus bradycardia with 1st degree A-V block,252
Regular supraventricular rhythm,232
Sinus rhythm with PACs,220
Accelerated idioventricular rhythm,212
Sinus tachycardia with PAC(s),211
Probable sinus tachycardia,204
Demand pacing,188
Possible atrial flutter with rapid ventricular response,177
Atrial pacing,176
Possible atrial flutter,174
Sinus bradycardia with sinus arrhythmia,170
Sinus rhythm with PVCs,149
Undetermined rhythm,142
Sinus bradycardia with borderline 1st degree A-V block,137
Sinus tachycardia with PACs,122
Sinus tachycardia with sinus arrhythmia,121
Atrial flutter with rapid ventricular response with 2:1 A-V block,109
Atrial fibrillation with PVC(s),104
Sinus tachycardia with borderline 1st degree A-V block,103
A-V sequential pacemaker,100
Atrial fibrillation with PVC(s) or aberrant ventricular conduction,95
Probable atrial tachycardia,90
Sinus bradycardia with PAC(s),89
Pacer detection suspended due to external noise-REVIEW ADVISED,86
Atrial fibrillation with uncontrolled ventricular response,80
Sinus tachycardia with PVC(s),77
Atrial fibrillation with rapid ventricular response with PVC(s),77
Sinus rhythm with PVC(s) with PAC(s),73
Possible ectopic atrial bradycardia,70
A-V dissociation,68
Demand atrial pacing,63
Sinus rhythm with frequent PVCs,62
Probable supraventricular tachycardia,61
SINUS BRADYCARDIA,61
Atrial fibrillation with PVCs,60
Possible idioventricular rhythm with slow ventricular response,59
Probable junctional rhythm,57
Sinus tachycardia with PVCs,57
Atrial fibrillation with rapid ventricular response with PVC(s) or aberrant ventricular conduction,56
Marked sinus bradycardia,56
Atrial flutter,53
Atrial flutter with rapid ventricular response,49
Sinus rhythm with PVC(s) with 1st degree A-V block,47
Atrial fibrillation with PVCs or aberrant ventricular conduction,47
Sinus arrhythmia with PVC(s),46
Possible accelerated junctional rhythm,45
"Age not entered, assumed to be  50 years old for purpose of ECG interpretation",42
Sinus rhythm with bigeminal PACs,41
Atrial fibrillation with rapid ventricular response with PVCs,40
Atrial fibrillation with rapid ventricular response with PVCs or aberrant ventricular conduction,40
Sinus bradycardia with PACs,40
SINUS TACHYCARDIA,38
Sinus tachycardia with frequent PVCs,37
Sinus arrhythmia with borderline 1st degree A-V block,37
Sinus rhythm with PAC(s) with 1st degree A-V block,37
Sinus rhythm with bigeminal PVCs,37
Sinus tachycardia with PVCs with PACs,35
Sinus rhythm with aberrantly conducted supraventricular complexes,34
Possible ectopic atrial tachycardia,34
Sinus arrhythmia with 1st degree A-V block,33
Sinus tachycardia with PVC(s) with PAC(s),33
Atrial fibrillation with slow ventricular response with PVC(s),33
Sinus rhythm with PVC(s) with borderline 1st degree A-V block,32
--- Pediatric criteria used ---,31
ATRIAL FIBRILLATION,31
Sinus rhythm with PVCs with PACs,29
Sinus rhythm with multifocal PVCs,28
Sinus rhythm with PAC(s) with borderline 1st degree A-V block,28
Atrial flutter with 3:1 A-V block,28
Probable atrial fibrillation with PVC(s) or aberrant ventricular conduction,27
Sinus rhythm with frequent multifocal PVCs,26
Probable atrial fibrillation,26
Sinus bradycardia with PVC(s),25
Atrial fibrillation with rapid ventricular response with multifocal PVCs or aberrant ventricular conduction,24
Ventricular-paced rhythm,24
Probable atrial fibrillation with rapid ventricular response,23
Sinus or ectopic atrial rhythm,23
Atrial flutter with 4:1 A-V block,22
Junctional rhythm,21
Sinus tachycardia with aberrantly conducted supraventricular complexes,21
Sinus arrhythmia with PVCs,20
Sinus tachycardia with sinus arrhythmia with PVC(s),20
Possible ectopic atrial rhythm with PAC(s),20
Atrial fibrillation with multifocal PVCs or aberrant ventricular conduction,20
Atrial fibrillation with frequent multifocal PVCs or aberrant ventricular conduction,20
Atrial flutter with rapid ventricular response with 3:1 A-V block,20
Atrial fibrillation with paroxysmal idioventricular rhythm or aberrant ventricular conduction,19
Irregular ectopic atrial rhythm,19
Atrial flutter with uncontrolled ventricular response with 2:1 A-V block,18
ATRIAL FIBRILLATION WITH RAPID VENTRICULAR RESPONSE,18
Sinus rhythm with PVCs with 1st degree A-V block,18
Sinus rhythm with PVCs with borderline 1st degree A-V block,18
Ectopic atrial rhythm,18
Atrial fibrillation with rapid ventricular response with non-sustained ventricular tachycardia,17
Sinus rhythm with frequent PACs,17
Possible atrial flutter with uncontrolled ventricular response,17
Wide QRS tachycardia,17
Sinus rhythm with interpolated PVC(s),16
Accelerated junctional rhythm,16
Sinus bradycardia with sinus arrhythmia with 1st degree A-V block,16
Possible junctional rhythm,16
Atrial fibrillation with frequent PVCs or aberrant ventricular conduction,16
Possible atrial flutter with slow ventricular response,15
Probable atrial fibrillation with PVC(s),15
Atrial fibrillation with slow ventricular response with PVC(s) or aberrant ventricular conduction,15
Warning: Data quality may affect computer interpretation!!,15
Sinus bradycardia with sinus arrhythmia with borderline 1st degree A-V block,15
Possible ectopic atrial rhythm with PVC(s),14
Sinus rhythm with PACs with borderline 1st degree A-V block,14
Sinus tachycardia with frequent multifocal PVCs,14
Sinus rhythm with PACs with 1st degree A-V block,13
Sinus bradycardia with PVCs,13
Sinus rhythm with bigeminal PACs with 1st degree A-V block,12
Probable ventricular tachycardia,12
Sinus tachycardia with frequent PACs,11
Atrial fibrillation with rapid ventricular response with paroxysmal idioventricular rhythm or aberrant ventricular conduction,11
Possible atrial flutter with PVC(s) or aberrant ventricular conduction,11
Possible atrial flutter with rapid ventricular response with PVC(s) or aberrant ventricular conduction,11
Atrial fibrillation with rapid ventricular response with frequent multifocal PVCs or aberrant ventricular conduction,11
Atrial-sensed ventricular-paced complexes,11
Sinus bradycardia with interpolated PVC(s),10
Probable atrial fibrillation with rapid ventricular response with PVC(s) or aberrant ventricular conduction,10
Sinus bradycardia with PAC(s) with 1st degree A-V block,10
Atrial-sensed ventricular-paced rhythm,10
Ventricular-paced complexes,10
Probable atrial fibrillation with rapid ventricular response with PVC(s),10
Probable atrial fibrillation with PVCs,10
Atrial fibrillation with intermittent conduction defect,9
Sinus bradycardia with sinus arrhythmia with PVC(s),9
Atrial fibrillation with rapid ventricular response with frequent PVCs or aberrant ventricular conduction,9
Irregular sinus tachycardia,9
SINUS ARRHYTHMIA,9
Sinus tachycardia with 1st degree A-V block,9
