report_0,count
Sinus rhythm,7321
Sinus rhythm.,6016
Sinus tachycardia.,1982
Sinus tachycardia,1779
Sinus bradycardia,975
Atrial fibrillation,953
Atrial fibrillation.,836
Sinus bradycardia.,804
*** CONSIDER ACUTE ST ELEVATION MI ***,795
Atrial fibrillation with rapid ventricular response.,687
--- Warning: Data quality may affect interpretation ---,624
Atrial fibrillation with rapid ventricular response,582
Sinus rhythm with 1st degree A-V block,371
Sinus rhythm with 1st degree A-V block.,358
Sinus rhythm with borderline 1st degree A-V block,334
Sinus rhythm with borderline 1st degree A-V block.,331
SINUS RHYTHM,304
Sinus rhythm with PAC(s).,274
Sinus rhythm with PAC(s),272
Sinus arrhythmia.,271
Sinus arrhythmia,267
Ventricular pacing.,198
Ventricular pacing,195
Atrial fibrillation with slow ventricular response,188
Sinus rhythm with PVC(s),182
Atrial fibrillation with slow ventricular response.,166
Sinus rhythm with PVC(s).,164
Possible ectopic atrial rhythm.,136
Probable sinus tachycardia.,135
Probable accelerated junctional rhythm,131
Possible ectopic atrial rhythm,130
Sinus bradycardia with 1st degree A-V block,128
Probable accelerated junctional rhythm.,128
Sinus rhythm with PACs.,126
Sinus bradycardia with 1st degree A-V block.,126
Sinus tachycardia with PAC(s).,125
Possible atrial flutter with rapid ventricular response.,123
Regular supraventricular rhythm.,119
Demand pacing.,115
Regular supraventricular rhythm,112
Atrial pacing.,110
Accelerated idioventricular rhythm.,109
Accelerated idioventricular rhythm,104
Sinus rhythm with PVCs.,97
Sinus rhythm with PACs,94
Sinus bradycardia with sinus arrhythmia.,94
Possible atrial flutter,90
Sinus tachycardia with PAC(s),87
Pacer detection suspended due to external noise-REVIEW ADVISED,86
Possible atrial flutter.,83
Sinus tachycardia with PACs.,82
Sinus bradycardia with sinus arrhythmia,77
Sinus tachycardia with sinus arrhythmia.,76
Demand pacing,73
Sinus bradycardia with borderline 1st degree A-V block,73
Atrial flutter with rapid ventricular response with 2:1 A-V block.,72
Undetermined rhythm,72
Undetermined rhythm.,71
Probable sinus tachycardia,69
A-V sequential pacemaker,66
Atrial pacing,64
Sinus bradycardia with borderline 1st degree A-V block.,63
SINUS BRADYCARDIA,61
Atrial fibrillation with uncontrolled ventricular response.,58
Atrial fibrillation with PVC(s),58
Sinus tachycardia with borderline 1st degree A-V block.,57
Possible atrial flutter with rapid ventricular response,54
Probable atrial tachycardia.,54
Atrial fibrillation with PVC(s) or aberrant ventricular conduction.,53
Sinus rhythm with PVCs,52
Atrial fibrillation with rapid ventricular response with PVC(s).,48
Sinus tachycardia with borderline 1st degree A-V block,46
Sinus bradycardia with PAC(s),45
Atrial fibrillation with PVC(s).,45
Sinus tachycardia with sinus arrhythmia,45
Sinus bradycardia with PAC(s).,44
Atrial fibrillation with PVC(s) or aberrant ventricular conduction,43
"Age not entered, assumed to be  50 years old for purpose of ECG interpretation",42
Sinus tachycardia with PACs,40
Sinus tachycardia with PVC(s).,39
Possible idioventricular rhythm with slow ventricular response.,38
SINUS TACHYCARDIA,38
Sinus tachycardia with PVC(s),38
Sinus tachycardia with PVCs.,37
A-V dissociation.,37
Atrial flutter with rapid ventricular response with 2:1 A-V block,37
Sinus rhythm with PVC(s) with PAC(s),37
Sinus rhythm with frequent PVCs.,37
Probable atrial tachycardia,36
Atrial fibrillation with PVCs.,36
Possible ectopic atrial bradycardia,36
Probable supraventricular tachycardia.,36
Sinus rhythm with PVC(s) with PAC(s).,36
A-V sequential pacemaker.,35
Possible ectopic atrial bradycardia.,34
Atrial flutter with rapid ventricular response.,33
--- Pediatric criteria used ---,31
Atrial fibrillation with PVCs or aberrant ventricular conduction.,31
A-V dissociation,31
ATRIAL FIBRILLATION,31
Demand atrial pacing.,30
Atrial fibrillation with rapid ventricular response with PVCs.,30
Sinus bradycardia with PACs.,29
Demand atrial pacing,29
Marked sinus bradycardia.,29
Probable junctional rhythm,29
Atrial fibrillation with rapid ventricular response with PVC(s),29
Probable junctional rhythm.,28
Atrial fibrillation with rapid ventricular response with PVC(s) or aberrant ventricular conduction.,28
Atrial fibrillation with rapid ventricular response with PVC(s) or aberrant ventricular conduction,28
Atrial flutter,28
Marked sinus bradycardia,26
Probable supraventricular tachycardia,25
Sinus rhythm with frequent PVCs,25
Atrial flutter.,25
Possible accelerated junctional rhythm,25
Sinus tachycardia with PVCs with PACs.,25
Sinus tachycardia with frequent PVCs.,24
Ventricular-paced rhythm,24
Atrial fibrillation with PVCs,24
Sinus rhythm with PAC(s) with 1st degree A-V block.,24
Sinus rhythm with PVC(s) with 1st degree A-V block,24
